id,year,Source,PageNumber,BeginningWords,Date,Length,FrontPage,Description,subissue,issue
25166,1978,NYT Index 1978,472,Article notes homosexuals,6/18/1978,3,0,Article notes homosexuals are finding it easier to buy homes in suburbs as result of recent changes in Fed anti-discrimination code in lending.,202,2
25249,1978,NYT Index 1978,641,members of club,4/27/1978,1,0,Minneapolis Club have voted to admit women into the club,202,2
25250,1978,NYT Index 1978,643,Mex-Amer Legal Defense,6/15/1978,2,0,Mex-Amer Legal Derense and Education Fund holds anniv celebration; Calif Gov praises funds,201,2
25258,1978,NYT Index 1978,659,"Tabaczynski, Slawomir, Hamden",2/5/1978,2,0,"Police Chief J P Hamden-New Haven area, charges that criminal justice system favors white, middle-calss youths charged with serious crimes as opposed to poor, black youths similarly charged",291,2
25348,1978,NYT Index 1978,839,"Bartell Associates, State",7/31/1978,1,0,"State Coll, Pa, study, ordered by Fed Judge in connection with sex discrimination suit against city, acknowldges inconsistencies in its findings",202,2
25521,1978,NYT Index 1978,1185,Author Mina Curtiss,5/20/1978,2,0,article scores Amer woman's search for identity,202,2
25589,1979,NYT Index 1979,123,Group of black,8/14/1979,2,1,"a group of black residents in Babylon, NY, asks Federal courts to abolish the system of electing members of the Town Board at large because, they maintain, at-large elections exclude blacks.",206,2
25606,1979,NYT Index 1979,157,Lrs on William,1/7/1979,9,0,These are letters on William Brashler's Dec. 3 article on the black middle class.,201,2
25607,1979,NYT Index 1979,159,Gov Forrest H,1/16/1979,2,0,"Governor Forrest H. James Jr, in taking oath of office, pledges to give all Alabamians a new beginning free from racism and discrimination.",201,2
25628,1979,NYT Index 1979,201,"Black, Hispanic and",8/30/1979,1,0,"Black, Hispanic and women's rights leaders urge Mayor Koch to set up a 'community hiring halls', similar to labor-union hiring hall.The purpose is to insure minority hiring in construction in NYC.",201,2
25727,1979,NYT Index 1979,403,Howard Husock article,11/25/1979,3,0,Howard Husock writes an article on Boston's problems in dealing with racial violence and reviews racial clashes in the public school system.,201,2
25733,1979,NYT Index 1979,415,"Opening of Cleveland, Ohio",8/4/1979,1,0,"Cleveland, Ohio, schools may be delayed in opening this fall as school officials seek Federal court approval to delay busing until 2nd semester; also cited is difficulty in completing desegregation.",201,2
25772,1979,NYT Index 1979,493,Freedom House survey,1/8/1979,1,0,A Freedom House survey shows that political rights and civil liberties increased for 563 million in 24 countries in 1978 and decreased for 144 million in 8 nations.,200,2
25826,1979,NYT Index 1979,601,Article on changes,6/8/1979,3,1,Racial barriers in housing have changed since the Civil Rights Act of 1968 and a large portion of the nation' house market are still closed to minorities; notes Congressional  Black Caucus.,201,2
25874,1979,NYT Index 1979,699,Article on plan,11/18/1979,2,0,This is an article on a plan by some NJ residents to hold a 'brotherhood vigil' on Nov 24 to counteract a 'white power rally' planned by the KKK on that day; the mayor also comments.,201,2
25931,1979,NYT Index 1979,813,NYS Gov Carey,1/4/1979,1,0,NYS Governor Carey says he will put the 'full force of govt behind the legitimate rights of minorities' in a State of State address.,201,2
25997,1979,NYT Index 1979,945,"Fed officials, by",3/28/1979,2,0,"Federal officials, by declining to accept North Carolina's proposal for desegregating its institutes of higher learning, have forced NC to re-examine the future of its 5 black universities.",201,2
26275,1979,NYT Index 1979,1501,Joan R Berns,11/25/1979,2,0,"This article discusses the change in roles of U.S.professional women since the turn of the century & notes external problems, including subtle and overt discrimination, are among the many that remain.",202,2
26287,1980,NYT Index 1980,3,Barbara Kaiser letter,7/20/1980,2,0,"Letter on continuing debate over abortion in Westchester, NY, Legislature; says Westchester Civil Liberties Union was missing from list opposing law",20081,2
26369,1980,NYT Index 1980,167,SCLC president Rev,8/12/1980,1,0,Southern Christian Ledrshp Conf pres calls for human rights intiatives; convention avoids endorsing political candidate but criticizes Pres Carter that after receiving black support he deserted cause,201,2
26473,1980,NYT Index 1980,382,"Jury award $750,000",8/14/1980,1,0,Jury awards $$ to woman who contends she was dismissed from her job as clerk for Detroit city Housing Comm b/c she is white,201,2
26488,1980,NYT Index 1980,413,Massachusetts Supreme Judicial,3/14/1980,1,0,Mass Supreme Judicial Court strikes down law  encouraging voluntary school prayer,207,2
26494,1980,NYT Index 1980,425,Senator Jesse A,12/10/1980,1,0,Sen Helms says he will not filibuster in support of antibusing provision in interim appropriations,201,2
26647,1980,NYT Index 1980,731,Small contingent of,9/28/1980,2,0,"Small contingent of Klansmen and women is training to become commandos, nothern Alabama, to provide security at Klan rallies and to kill blacks in race war to come",200,2
26653,1980,NYT Index 1980,745,Rev Jesse Jackson,8/17/1980,1,0,"Rev Jackson says he & Illinois Comptroller , Mayor Hatcher and Rep Colins have won Pres Carter's support for nationwide aid package for blacks,includes provisions for economic policies to create jobs",201,2
26655,1980,NYT Index 1980,749,National Commission on,9/2/1980,1,0,Natl Comm on Working Women announces platform calling for better working conditions for women,202,2
26822,1980,NYT Index 1980,1083,NAACP's San Antonio,11/28/1980,1,0,NAACP's San Antonio chapter says trial should not be held in San Antonion b/c of chance of racial violence,201,2
26890,1980,NYT Index 1980,1221,US Supreme Court,1/22/1980,1,0,US Supreme Court reverses armed robbery conviction of LA man on ground prosecution failed to demonstrate man had been given Miranda warnings,12101,2
26914,1980,NYT Index 1980,1269,Rhode Island Supreme,3/22/1980,1,0,"RI Supreme Ct upholds state's fornication law, ruling that sex b/w consenting unmarried adults does not fall within their right of privacy",208,2
27051,1980,NYT Index 1980,1543,Dr Manning Marable,8/25/1980,9,0,Dr Marable says he is creating new national political party to give blacks and other Americans a tool for bringing about humanistic reforms,200,2
27091,1980,NYT Index 1980,1623,National Organization for,9/24/1980,1,0,"Natl Orgn for Women files Fedl court suit to disqualify Judge Callister,Mormon, from hearing suit challenging consitutionality of Congressional extension of equal rights amendment (church opposes it)",202,2
27163,1981,NYT Index 1981,134,Anthony Lewis article,1/4/1981,2,0,Anthony Lewis writes an article on American problems as Pres.-elect Reagan prepares to take office. He discusses the waning of whites to understand black discrimination and the resentment from it.,201,2
27164,1981,NYT Index 1981,136,Blacks charge racism is factor,9/2/1981,2,0,"Blacks charge racism is a factor in a decision made by a white dominated lame duck council in Alabama. Mayor Smith, black, says the decision followed blacks winning pol. control last year.",201,2
27202,1981,NYT Index 1981,212,Fed District Court Judge,12/1/1981,1,0,"Fed. District Court Judge Raymond J. Pettine refuses to stay his own order preventing the city of Pawtucket, RI, from setting up a Nativity scene which has been part of its x-mas display for 40 years.",207,2
27204,1981,NYT Index 1981,216,"Roger Baldwin, on 97th birthday",1/22/1981,2,0,"Roger Baldwin, on his 97th birthday, reflects on his founding of the American Civil Liberties Union in 1920 as well as other issues.",200,2
27224,1981,NYT Index 1981,258,US Supreme Court,2/24/1981,1,0,US Supreme Court refuses to hear an appeal by Maine from ruling that the state's Fair Credit Reporting Act violates free speech rights of consumer reporting agencies.,207,2
27265,1981,NYT Index 1981,340,Community School Board,6/23/1981,1,0,"Many parents of white children who were transferred to Intermediate School 231, a Queens school with a predominantly black enrollment, plan to take their children out of the city school system.",201,2
27329,1981,NYT Index 1981,468,Mike Sheridan article,4/22/1981,2,0,This article discusses the issue of compensation to native Hawiians whose land was taken away. Sheridan also notes that Pres. Reagan had dismissed the Native Hawaiians Study Commission.,200,2
27338,1981,NYT Index 1981,486,Topics editorial on,6/25/1981,1,0,This is a topics editorial on the Supreme Courts decision to uphold NYS's right to ban topless entertainment in bars licensed by the NYS Liquor Authority.,207,2
27377,1981,NYT Index 1981,564,Residents and officials,4/12/1981,2,1,"Residents and officials of various NJ suburban communities voice dismay about anti-Semitic incidents in recent months in Bergen, Essex, and Middlesex Counties.",201,2
27379,1981,NYT Index 1981,568,"Criminal defendents, ranging",1/11/1981,2,0,Criminal defendents join forces at a Fed. Court in Atlanta in hopes of having indictments dismissed because of alleged discrimination in the way the Fed. juries are selected in N. District Georgia.,201,2
27420,1981,NYT Index 1981,650,Delegates to National,6/15/1981,2,0,"Delegates to the National Congress for Men, Houston, hope to launch a men's liberation movement to overcome stereotypes of male social and economic roles.",202,2
27578,1981,NYT Index 1981,970,Justice Department publishes,1/3/1981,2,0,"Justice Dept. publishes guidelines restricting search warrants by Fed. Investigators seeking documents& tape recordings from journalists, physicians, clergymen & lawyers not suspected of any crime.",208,2
27667,1981,NYT Index 1981,1149,"Vice Pres Bush,",8/13/1981,2,1,"Vice President Bush announces that the Adm. is studying a group of 30 regulations to see if they are burdensome to the economy, including Federal guidelines protecting women from sex. harrassment.",202,2
27750,1982,NYT Index 1982,29,Dougherty County Judge,11/26/1982,1,0,Rules predominantly black college practiced racial discrimination in passing over white man to name black woman as history dept chair,201,2
27793,1982,NYT Index 1982,121,NAACP conv delegates,7/3/1982,2,0,NAACP conv delegates laud decision,201,2
27880,1982,NYT Index 1982,297,Montgomery County School,3/16/1982,2,0,"Montgomery County, MD School Bd's decision to close 6 public schools is being challenged before State Board of Educ amid charges of resegregation",201,2
27883,1982,NYT Index 1982,303,Editorial on Sen,9/7/1982,9,0,Ed on Sen Hlems proposal that would deny power of Fed court to rule on state or local law permitting or requiring voluntary prayers in public schools and buildings,207,2
27888,1982,NYT Index 1982,313,James C Sanders,9/2/1982,2,0,Fed Small Business Admr tours plant which has doubled sales by help of Govt contracts that are set aside for small businesses operated by members of minority groups,201,2
27992,1982,NYT Index 1982,521,Labor Dept's Office,4/24/1982,1,0,"Labor Dept Office of Fed Contract Compliance moves to limit back pay awards to workers subjected to employmnt discrimination by Govt  contractors;US Chamber of Commerce, labor orgs &women groups angry",202,2
28248,1982,NYT Index 1982,1041,Floyd Abrams article,6/11/1982,9,0,says bill violates 1st Amendment and threatens to remove check on illegal activities by intelligence agencies,208,2
28291,1983,NYT Index 1983,5,Anthony Lewis column,3/3/1983,9,0,"Column scores Reagan Admin's fear of open debate and information , most recently evidenced in Justice Dept's order that 2 Canadian films on acid rain be labeled foreign 'political propaganda'",209,2
28527,1983,NYT Index 1983,487,Justice Dept,12/18/1983,1,0,Justice Dept is suing Cleveland Fire Dept for discriminating against women in hiring of firefighters,202,2
28614,1983,NYT Index 1983,659,Natl Anti-Klan Network,1/2/1983,1,0,Natl Anti-Klan Network plans nationwide petition campaign aimed at pressuring US Gov't to take more active role in prosecuting people involved in racist and anti-Semitic acts,201,2
28625,1983,NYT Index 1983,681,Article on,1/2/1983,2,0,"Article on Phase III of Merck Co, Rahway, NJ affirmative action program",201,2
28684,1983,NYT Index 1983,801,US Civil Rights Comm,1/12/1983,2,0,US Civil Rights Commission criticizes Reagan admin for its opposition to broad-based affirmative action in 2 major civil rights cases involving new Orleans Police Dept and Boston's Fire and Police Dep,201,2
28772,1983,NYT Index 1983,977,Repr Major Owens,8/1/1983,1,0,Repr Major Owens charges that NYC Police Dept used screening methods to eliminate minority applicants who had already passes Civil Service exam to become police officers,201,2
28780,1983,NYT Index 1983,993,Comment on coincidence,8/31/1983,1,0,"Comment on coincidence of Rev Jesse Jackson scheduling speech to Human Rights Campaign Fund, political action committee for homosexuals civil rights, and his announcement of Pres aspirations",202,2
28974,1983,NYT Index 1983,1391,After bitter,11/16/1983,2,1,"After bitter partisan debate, House narrowly defeats sudden move to revive proposed equal rights ammendmant to Constitution",202,2
28984,1984,NYT Index 1984,7,New York State,10/18/1984,1,0,"NYS Atty Gen's office says Dr Sonnabend, who specializes in treating patients w/AIDS will receive $10,000 in damages and new lease under settlement w/ Greenwich Village apt coop that evicted him",200,2
29059,1984,NYT Index 1984,164,Members of black,8/19/1984,2,0,"Mbrs of black & Jewish communities in New Rochelle, NY, are discussing what can be done to prevent further polarization; group includes Rabbis, Revs and NAACP mbr",201,2
29117,1984,NYT Index 1984,280,New York Civil,11/9/1984,1,0,NYCivil Liberties Union to honor Floyd Abrams and Eleanor Homes Norton at annual dinner,201,2
29263,1984,NYT Index 1984,575,New York Supreme,9/6/1984,2,1,NY Supreme Court Judge declares unconstitutional order by NYC Mayor Koch forbidding discrimination against homosexuals by private companies & groups doing business in city,202,2
29274,1984,NYT Index 1984,597,Federal Bureau of,11/30/1984,2,0,FBI starts civil rights investigation into fatal shootings by city police officer of Eleanor Bumpers,201,2
29286,1984,NYT Index 1984,621,William Safire Op-Ed,5/11/1984,2,0,Ed on US Information Agency Director's use of office computer to retain transcripts of telephone conversatins he secretly taped; latest batch submitted to Congress have calls in CA where taping illega,208,2
29299,1984,NYT Index 1984,647,Text of statement,6/29/1984,2,0,Exec Dir of NAACP scores Farrakhans inflammatory statement about Judaism and disagrees w/ Farrakhan's claim that Israel has no right to exist,201,2
29315,1984,NYT Index 1984,679,Federal judge in,12/19/1984,9,0,Fed'l judge in Atlanta sentences 4 KKK members in connection of beatings of married white woman & black man,301,2
29335,1984,NYT Index 1984,719,Mayor Tom Bradley,8/5/1984,1,0,"Mayor Tom Bradley of Los Angeles dismisses more than 100 appointed commissioners and brings more women, members of minorities and political supporters to power",200,2
29460,1984,NYT Index 1984,976,"Bill, proposed by",10/7/1984,2,0,"Bill proposed by Repub. NY Legislator to discourage movies,book, &c that show sexual violence against women has set off constitutional furor",207,2
29466,1984,NYT Index 1984,988,Aide to Sen,3/4/1984,1,0,Aide to Sen Baker notes Pres Reagan is supporting proposed constitutional amendment to permit organized prayer in public schools to energize his conservative backers,207,2
29481,1984,NYT Index 1984,1018,RIghts and achievements,8/27/1984,2,1,Rights & achivements of US women are feted at White House on campaign trail as Reagan & Demo. rivals Mondale/Ferraro court votes on anniv. of women's suffrage in US,202,2
29499,1984,NYT Index 1984,1054,Federal jury awards,12/7/1984,2,0,"Fed'l jury awards $75,000 in compensatory damages in sexual discrimination case at Ramapo College",202,2
29505,1984,NYT Index 1984,1068,National Woman's Party,10/29/1984,1,0,National Woman's Party pres resigns from Repub Business Women of NY--outraged by group using ERA to stand for Elect Reagan Again rather than proposed Fedl equal rights amendment,202,2
29629,1984,NYT Index 1984,1321,Editorial backs legislation,4/3/1984,9,0,"Ed backs legislation proposed by Sen Packwood, Freedom of Expression bill, as constructive proposal that would open up political television",207,2
29649,1984,NYT Index 1984,1361,Burt Neuborne Op,7/22/1984,2,0,Claims Americans are not immune to political and social oppression;when Supreme Ct falters in role as protector of individual the structure that keeps American free is put at risk,207,2
29658,1984,NYT Index 1984,1379,Anthony Lewis column,12/10/1984,2,0,"Noting ads by Mobil which are critical of the press, shows how hard it is to accept nature of American freedom",207,2
29692,1985,NYT Index 1985,11,NYC Councilwoman Messinger,11/15/1985,1,0,NYC Councilwoman Messinger charges city and state governments have allowed public fear of AIDS to stimulate criticism of homosexual community; speech to mtg of Gay and Lesbian Anti-Defamation League,202,2
29736,1985,NYT Index 1985,106,Article describes recent,8/31/1985,3,0,"Article describes recent violent incidents in Boston, Mass., that Asian-American leaders and Government officials say are evidence possible growing animosity and bigotry against Asians across America",201,2
29888,1985,NYT Index 1985,413,Federal District Judge,6/15/1985,1,0,Fed'l District Judge orders desegregation plan involving voluntary student transfers b/w Kansas City & suburban districts to bring racial balance to city schools,201,2
29967,1985,NYT Index 1985,569,American Bar Assn's,7/10/1985,2,0,American Bar Assn's House of Delegates defeats call for legislation barring discrimination against homosexuals in employment & housing,202,2
30155,1985,NYT Index 1985,951,New York City,11/19/1985,2,0,NYC Corp Counsel says 200 black& hispanic police officers who failed sergeant exam will be promoted under racial quota city proposed;Koch adm breaching own hiring policy b/c they'll lose court case,201,2
30266,1985,NYT Index 1985,1180,Advocates of greater,5/23/1985,1,0,Advocates of greater minority role in broad- casting charge Reagan Adm's opposition to racial  preferences & FCC's agressive deregulation policies are harming minority opportunities,201,2
30376,1986,NYT Index 1986,5,Advocates of abortion rights,11/13/1986,2,0,Advocates of abortion rights say election victories of pro-choice advocates in the House and Senate strengthens their movement. Anti-abortion leaders criticize Reagan admin. for playing down issue.,20081,2
30431,1986,NYT Index 1986,105,Queens District Atty,12/31/1986,2,0,"Queens District Atty, after suffering setback in court, confers with aides and detectives investigating racial attack in Howard Beach to see what to do next",201,2
30526,1986,NYT Index 1986,297,Gov James Thompson,9/18/1986,1,0,Gov James Thompson signs into law measure forbidding private guerilla and paramilitary training in Illinois,200,2
30549,1986,NYT Index 1986,344,Supreme Court rules,7/1/1986,2,0,Supreme Ct rules 7 to 2 that First Ammendment gives public and press qualified right to attend pre-trial criminal hearings over objection of defendant,207,2
30600,1986,NYT Index 1986,448,Insular Hasidic village,10/20/1986,2,0,"Hasidic village of Kiryas Joel, which is now within town of Monroe, NY raises hackles of residents and officials by demanding seperate treatment of children on some matters;mentions school board elect",200,2
30901,1986,NYT Index 1986,1052,Federal Judge,11/14/1986,1,0,"Federal Judge R Allan Edgar rules that mandatory drug tests for Chattanooga, Tenn firefighters and police officers violate their constitutional protection against unreasonable searches",208,2
31167,1987,NYT Index 1987,101,Letter from State,1/11/1987,9,0,Letter from State Sen Jeremy Weinstein deplores press reports on racially motivated attack in Howard Beach that would invite reader to infer that racial problems are peculiar to this community.,201,2
31204,1987,NYT Index 1987,176,Several affirmative action,6/28/1987,2,0,"Several affirmative action officers comment on their work, describing job as balancing acts.",201,2
31323,1987,NYT Index 1987,424,All-black municipal,3/26/1987,1,0,"All-black municipal government in Edwards, Miss, responding to complaints by whites who say they are not being fairly represented, agree to create majority white-district in new ward system.",201,2
31456,1987,NYT Index 1987,689,Kiwanis International votes,7/8/1987,1,0,"Kiwanis International votes to allow its 8,200 clubs to admit women.",202,2
31577,1987,NYT Index 1987,937,Judith Cummings article,5/8/1987,2,0,"Article on Mary Lou Elliott of Duarte, Calif, in view of landmark Supreme Court decision validating her acceptance as one of first three women in America to join Rotary Club.",201,2
31639,1987,NYT Index 1987,1061,Sobriety checkpoints gain,12/27/1987,2,0,Sobriety checkpoints gain as police weapon against drunken driving despite resistance from civil liberties advocates.,208,2
31767,1987,NYT Index 1987,1317,Small Business Administration,6/5/1987,2,0,"Small Business Adm head James Abdnor opposes bill to revise 8(a) of Small Business Act, which seeks to help minority owned businesses by awarding them governmental contracts without comp. bidding.",201,2
31808,1988,NYT Index 1988,3,"Senate votes, 47 to 43,",9/14/1988,1,0,Senate votes to accept House prohibition on Fed'l spending for abortion in cases of rape or incest; gives up attempt to permit funding,20081,2
31858,1988,NYT Index 1988,108,Federal authorities say,10/21/1988,1,0,Fed'l authorities say they will investigate whether there were any civil rights violations in death in Oct of black youth who was killed by a car in NYC,201,2
31893,1988,NYT Index 1988,178,Hazel N Dukes and,1/10/1988,2,0,Leaders of NAACP in NY criticize black lawyers & clergy for 'hollering' rather than working methodically to fight discrimination & violence against blacks; criticize Mayor's leadership & urge Gov,201,2
31966,1988,NYT Index 1988,326,Supreme Court rules,6/16/1988,2,0,Supreme Ct rules that once a suspect says he wants an attorney police may not quest him about any crime,12104,2
32023,1988,NYT Index 1988,438,Tom Loy article,10/2/1988,1,0,Article on banning school prayer in Conn,207,2
32041,1988,NYT Index 1988,475,Justice Department may,10/4/1988,1,0,Justice Dept may not appeal Fed'l court ruling that FBI has discriminated against Hispanic employees,201,2
32064,1988,NYT Index 1988,521,Civic activists and,5/8/1988,2,0,Civic activists are worried over disturbing phenomenon of citizens who exercise their right of free speech having to pay for it by threat of financial ruin as their cases move thru the legal system,200,2
32143,1988,NYT Index 1988,680,California Supreme Court,5/6/1988,1,0,CA Supreme Court refuses to hear Jon Clubs appeal of lower court ruling upholding CA Coastal Comm requirement that club not discriminate against women or minorities,200,2
32161,1988,NYT Index 1988,716,Hiring of Roger,1/10/1988,2,0,"Hiring of 1 of group of black revolutionaries known as NYEight, by Cntr for Law &Social Justice is symbol of provocative positions taken by center; dir. sees as mission of advocacy of low income black",201,2
32372,1988,NYT Index 1988,1143,Federal appeals court,1/16/1988,2,0,Fedl appeals court in Chicago upholds ruling against Equal Employment Opportunity Comm in 9yr old sex discrimination suit against Sear Co,202,2
32397,1988,NYT Index 1988,1195,State Farm Insurance,1/20/1988,1,1,State Farm Ins Co agrees to mutimillion dollar settlement of suit by 3 women who were refused jobs as insurance sales agents in CA over 13-yr period,202,2
32503,1988,NYT Index 1988,1411,Anti-Defamation League,10/27/1988,2,0,Anti-Defamation League of B'nai B'rith(??) reports new Nazi youths are joining w/ KKK to rejuvenate white supremist movement,201,2
